GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Human,45,46,8,0,12,17,6,3,2,3
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Human.HumanType,0,24,0,0,0,3,0,1,0,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Library.CustomRecordFormatter,45,3,2,0,11,1,2,1,1,1
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Library,66,424,17,17,19,114,18,18,6,13
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Writer,0,74,0,6,0,16,0,6,0,3
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Reader,0,74,1,5,0,16,1,5,0,3
Modul glowny aplikacji - klasa Main z metoda main,pl.edu.agh.kis.pz1,Main,76,87,6,4,13,14,5,5,2,3
